email_id,category,status,review_reason,defect_fields,has_defect,attachments
email_001,BL_COMPARISON,OK,,,False,attachments/email_001_SI.txt;attachments/email_001_BL.txt
email_002,INVOICE_QUERY,OK,,,False,
email_003,BL_COMPARISON,OK,,,False,
email_004,BL_COMPARISON,MISMATCH,,consignee;notify_party,True,attachments/email_004_SI.txt;attachments/email_004_BL.txt
email_005,BL_COMPARISON,OK,,,False,attachments/email_005_SI.xlsx;attachments/email_005_BL.xlsx
email_006,BL_COMPARISON,OK,,,False,
email_007,SI_REQUEST,OK,,,False,
email_008,SI_REQUEST,OK,,,False,
email_009,BL_COMPARISON,OK,,,False,attachments/email_009_SI.txt;attachments/email_009_BL.txt
email_010,INVOICE_QUERY,OK,,,False,
email_011,GENERAL,OK,,,False,
email_012,GENERAL,OK,,,False,
email_013,BL_COMPARISON,MISMATCH,,port_of_discharge,True,attachments/email_013_SI.txt;attachments/email_013_BL.txt
email_014,SI_REQUEST,OK,,,False,
email_015,SPAM,OK,,,False,
email_016,BL_COMPARISON,OK,,,False,
email_017,INVOICE_QUERY,OK,,,False,
email_018,BL_COMPARISON,OK,,,False,
email_019,SI_REQUEST,OK,,,False,
email_020,SI_REQUEST,OK,,,False,
email_021,GENERAL,OK,,,False,
email_022,SI_REQUEST,OK,,,False,
email_023,SI_REQUEST,OK,,,False,
email_024,INVOICE_QUERY,OK,,,False,
email_025,BL_COMPARISON,MISMATCH,,port_of_discharge;container_count,True,attachments/email_025_SI.txt;attachments/email_025_BL.txt
email_026,SPAM,OK,,,False,
email_027,SI_REQUEST,OK,,,False,
email_028,SI_REQUEST,OK,,,False,
email_029,SI_REQUEST,OK,,,False,
email_030,SI_REQUEST,OK,,,False,
email_031,BL_COMPARISON,MISMATCH,,container_count;gross_weight_kg,True,attachments/email_031_SI.txt;attachments/email_031_BL.txt
email_032,BL_COMPARISON,OK,,,False,attachments/email_032_SI.txt;attachments/email_032_BL.txt
email_033,SI_REQUEST,OK,,,False,
email_034,BL_COMPARISON,OK,,,False,attachments/email_034_SI.txt;attachments/email_034_BL.txt
email_035,SI_REQUEST,OK,,,False,
email_036,BL_COMPARISON,OK,,,False,
email_037,GENERAL,OK,,,False,
email_038,BL_COMPARISON,OK,,,False,
email_039,SI_REQUEST,OK,,,False,
email_040,BL_COMPARISON,OK,,,False,attachments/email_040_SI.txt;attachments/email_040_BL.txt
email_041,INVOICE_QUERY,OK,,,False,
email_042,SI_REQUEST,OK,,,False,
email_043,BL_COMPARISON,MISMATCH,,container_count,True,attachments/email_043_SI.txt;attachments/email_043_BL.txt
email_044,BL_COMPARISON,OK,,,False,attachments/email_044_SI.txt;attachments/email_044_BL.txt
email_045,INVOICE_QUERY,OK,,,False,
email_046,BL_COMPARISON,MISMATCH,,notify_party,True,attachments/email_046_SI.txt;attachments/email_046_BL.txt
email_047,BL_COMPARISON,OK,,,False,
email_048,INVOICE_QUERY,OK,,,False,
email_049,BL_COMPARISON,OK,,,False,
email_050,BL_COMPARISON,OK,,,False,
email_051,BL_COMPARISON,OK,,,False,attachments/email_051_SI.txt;attachments/email_051_BL.txt
email_052,BL_COMPARISON,OK,,,False,attachments/email_052_SI.txt;attachments/email_052_BL.txt
email_053,GENERAL,OK,,,False,
email_054,SI_REQUEST,OK,,,False,
email_055,BL_COMPARISON,OK,,,False,attachments/email_055_SI.xlsx;attachments/email_055_BL.docx
email_056,BL_COMPARISON,OK,,,False,attachments/email_056_SI.txt;attachments/email_056_BL.txt
email_057,SI_REQUEST,OK,,,False,
email_058,BL_COMPARISON,OK,,,False,attachments/email_058_SI.txt;attachments/email_058_BL.txt
email_059,BL_COMPARISON,OK,,,False,attachments/email_059_SI.pdf;attachments/email_059_BL.pdf
email_060,INVOICE_QUERY,OK,,,False,
email_061,BL_COMPARISON,OK,,,False,
email_062,INVOICE_QUERY,OK,,,False,
email_063,BL_COMPARISON,OK,,,False,
email_064,BL_COMPARISON,OK,,,False,attachments/email_064_SI.txt;attachments/email_064_BL.txt
email_065,BL_COMPARISON,MISMATCH,,notify_party;port_of_discharge,True,attachments/email_065_SI.txt;attachments/email_065_BL.txt
email_066,BL_COMPARISON,OK,,,False,
email_067,SI_REQUEST,OK,,,False,
email_068,BL_COMPARISON,OK,,,False,attachments/email_068_SI.txt;attachments/email_068_BL.txt
email_069,INVOICE_QUERY,OK,,,False,
email_070,GENERAL,OK,,,False,
email_071,BL_COMPARISON,MISMATCH,,port_of_discharge;container_count,True,attachments/email_071_SI.txt;attachments/email_071_BL.txt
email_072,SPAM,OK,,,False,
email_073,SI_REQUEST,OK,,,False,
email_074,INVOICE_QUERY,OK,,,False,
email_075,GENERAL,OK,,,False,
email_076,GENERAL,OK,,,False,
email_077,BL_COMPARISON,OK,,,False,
email_078,INVOICE_QUERY,OK,,,False,
email_079,SI_REQUEST,OK,,,False,
email_080,BL_COMPARISON,OK,,,False,
email_081,BL_COMPARISON,OK,,,False,
email_082,BL_COMPARISON,OK,,,False,attachments/email_082_SI.txt;attachments/email_082_BL.txt
email_083,GENERAL,OK,,,False,
email_084,SI_REQUEST,OK,,,False,
email_085,INVOICE_QUERY,OK,,,False,
email_086,GENERAL,OK,,,False,
email_087,INVOICE_QUERY,OK,,,False,
email_088,BL_COMPARISON,OK,,,False,
email_089,GENERAL,OK,,,False,
email_090,BL_COMPARISON,OK,,,False,attachments/email_090_SI.txt;attachments/email_090_BL.txt
email_091,BL_COMPARISON,MISMATCH,,container_count,True,attachments/email_091_SI.txt;attachments/email_091_BL.txt
email_092,BL_COMPARISON,OK,,,False,
email_093,SI_REQUEST,OK,,,False,
email_094,SI_REQUEST,OK,,,False,
email_095,BL_COMPARISON,OK,,,False,
email_096,BL_COMPARISON,OK,,,False,attachments/email_096_SI.txt;attachments/email_096_BL.txt
email_097,BL_COMPARISON,MISMATCH,,container_count;gross_weight_kg,True,attachments/email_097_SI.xlsx;attachments/email_097_BL.docx
email_098,GENERAL,OK,,,False,
email_099,INVOICE_QUERY,OK,,,False,
email_100,BL_COMPARISON,OK,,,False,
email_101,SI_REQUEST,OK,,,False,
email_102,INVOICE_QUERY,OK,,,False,
email_103,SI_REQUEST,OK,,,False,
email_104,INVOICE_QUERY,OK,,,False,
email_105,BL_COMPARISON,OK,,,False,
email_106,SI_REQUEST,OK,,,False,
email_107,BL_COMPARISON,MISMATCH,,consignee;container_count,True,attachments/email_107_SI.xlsx;attachments/email_107_BL.docx
email_108,INVOICE_QUERY,OK,,,False,
email_109,BL_COMPARISON,OK,,,False,
email_110,SI_REQUEST,OK,,,False,
email_111,BL_COMPARISON,MISMATCH,,container_count,True,attachments/email_111_SI.txt;attachments/email_111_BL.txt
email_112,INVOICE_QUERY,OK,,,False,
email_113,BL_COMPARISON,OK,,,False,attachments/email_113_SI.txt;attachments/email_113_BL.txt
email_114,BL_COMPARISON,OK,,,False,
email_115,INVOICE_QUERY,OK,,,False,
email_116,SPAM,OK,,,False,
email_117,GENERAL,OK,,,False,
email_118,BL_COMPARISON,OK,,,False,attachments/email_118_SI.txt;attachments/email_118_BL.txt
email_119,BL_COMPARISON,MISMATCH,,port_of_loading,True,attachments/email_119_SI.txt;attachments/email_119_BL.txt
email_120,SI_REQUEST,OK,,,False,
email_121,BL_COMPARISON,MISMATCH,,gross_weight_kg,True,attachments/email_121_SI.txt;attachments/email_121_BL.txt
email_122,SI_REQUEST,OK,,,False,
email_123,SPAM,OK,,,False,
email_124,SI_REQUEST,OK,,,False,
email_125,SI_REQUEST,OK,,,False,
email_126,GENERAL,OK,,,False,
email_127,SI_REQUEST,OK,,,False,
email_128,BL_COMPARISON,MISMATCH,,port_of_loading;gross_weight_kg,True,attachments/email_128_SI.txt;attachments/email_128_BL.txt
email_129,BL_COMPARISON,MISMATCH,,port_of_loading;port_of_discharge,True,attachments/email_129_SI.txt;attachments/email_129_BL.txt
email_130,SI_REQUEST,OK,,,False,
email_131,SI_REQUEST,OK,,,False,
email_132,BL_COMPARISON,OK,,,False,attachments/email_132_SI.txt;attachments/email_132_BL.txt
email_133,BL_COMPARISON,MISMATCH,,gross_weight_kg,True,attachments/email_133_SI.txt;attachments/email_133_BL.txt
email_134,SPAM,OK,,,False,
email_135,SI_REQUEST,OK,,,False,
email_136,BL_COMPARISON,OK,,,False,
email_137,SI_REQUEST,OK,,,False,
email_138,SI_REQUEST,OK,,,False,
email_139,INVOICE_QUERY,OK,,,False,
email_140,SPAM,OK,,,False,
email_141,BL_COMPARISON,OK,,,False,
email_142,GENERAL,OK,,,False,
email_143,BL_COMPARISON,OK,,,False,attachments/email_143_SI.txt;attachments/email_143_BL.txt
email_144,BL_COMPARISON,MISMATCH,,consignee;container_count,True,attachments/email_144_SI.txt;attachments/email_144_BL.txt
email_145,BL_COMPARISON,MISMATCH,,shipper,True,attachments/email_145_SI.txt;attachments/email_145_BL.txt
email_146,BL_COMPARISON,OK,,,False,attachments/email_146_SI.txt;attachments/email_146_BL.txt
email_147,GENERAL,OK,,,False,
email_148,SI_REQUEST,OK,,,False,
email_149,SI_REQUEST,OK,,,False,
email_150,SPAM,OK,,,False,
email_151,SI_REQUEST,OK,,,False,
email_152,BL_COMPARISON,OK,,,False,
email_153,GENERAL,OK,,,False,
email_154,SI_REQUEST,OK,,,False,
email_155,INVOICE_QUERY,OK,,,False,
email_156,SPAM,OK,,,False,
email_157,SI_REQUEST,OK,,,False,
email_158,BL_COMPARISON,OK,,,False,
email_159,GENERAL,OK,,,False,
email_160,BL_COMPARISON,OK,,,False,attachments/email_160_SI.pdf;attachments/email_160_BL.pdf
email_161,BL_COMPARISON,OK,,,False,
email_162,SI_REQUEST,OK,,,False,
email_163,SI_REQUEST,OK,,,False,
email_164,SI_REQUEST,OK,,,False,
email_165,INVOICE_QUERY,OK,,,False,
email_166,SI_REQUEST,OK,,,False,
email_167,BL_COMPARISON,OK,,,False,attachments/email_167_SI.txt;attachments/email_167_BL.txt
email_168,SI_REQUEST,OK,,,False,
email_169,INVOICE_QUERY,OK,,,False,
email_170,INVOICE_QUERY,OK,,,False,
email_171,BL_COMPARISON,OK,,,False,attachments/email_171_SI.xlsx;attachments/email_171_BL.xlsx
email_172,SI_REQUEST,OK,,,False,
email_173,GENERAL,OK,,,False,
email_174,BL_COMPARISON,MISMATCH,,notify_party;port_of_discharge,True,attachments/email_174_SI.txt;attachments/email_174_BL.txt
email_175,BL_COMPARISON,OK,,,False,attachments/email_175_SI.txt;attachments/email_175_BL.txt
email_176,BL_COMPARISON,OK,,,False,
email_177,SI_REQUEST,OK,,,False,
